family,mechanism,technique,target_gate,transfer_to_ARGOS,input_requirements,source_candidate,pit_gate,provenance_gate,cost_gate,coverage_gate,semantic_gate,temporal_granularity_gate,sample_complexity_gate,redundancy_group,interpretability_gate,leakage_risk,computational_auditability,hyperparameter_dependency,ablation_compatible,time_feasibility,final_status,role_recommendation,justification,next_step
Momentum,Risk normalization,Volatility-scaled movement,H2,Comparable anomaly magnitude across regimes,PM probability path or historical changes before cutoff plus rolling volatility estimator,DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS_IF_ROLLING_HISTORY_AVAILABLE,PASS_DAT002,PASS_R0,UNKNOWN_FOR_DENSE_ROLLING_HISTORY,PASS,CONDITIONAL_DENSE_HISTORY,PASS_SIMPLE,PRICE_NORMALIZATION,PASS,MEDIUM_ROLLING_WINDOW,HIGH,MEDIUM_WINDOW,YES,MEDIUM,CONDITIONAL,CORE_CANDIDATE_IF_COVERAGE,Concept is strong but the current approved evidence is horizon snapshots; rolling PM volatility coverage has not been established.,ART-028: test retrieval of pre-cutoff price history and freeze one volatility window.
Momentum,Crash regime,Volatility/panic state interaction,H3,Condition signal reliability on stress,Pre-event equity volatility/beta/market state + validated H2 signal,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS,PASS_DAT007,PASS_R0,MAX_115_FOR_60_SESSION_FEATURES,PASS,PASS_DAILY,CONDITIONAL_ONE_INTERACTION_ONLY,H3_RISK_STATE,PASS,LOW_IF_PRE_EVENT,HIGH,LOW,YES,HIGH_AFTER_H2,GO_CHALLENGER,H3_CHALLENGER,Equity volatility state is reproducible PIT; H3 is blocked until H2 and sample size supports only parsimonious interactions.,If H2 passes freeze one pre-event volatility regime definition in H3.
Mean reversion,Relative-value residual,Conditional z-score,H2,Deviation from expected market state,Candidate movement feature + expected-state covariates estimated on prior observations,DAT-002 CLOB price history + ART-004/005 safe cutoffs; optionally DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_WITH_PREQUENTIAL_FIT,PASS_FOR_PRICE; CONDITIONAL_FOR_TRADE,PASS_R0,PASS_FOR_PRICE_FEATURES; TRADE_UNKNOWN,PASS,PASS_EVENT_LEVEL,PASS_IF_LOW_DIMENSIONAL_SHRUNK,ANOMALY_RESIDUALIZATION,PASS,HIGH_IF_GLOBAL_NORMALIZATION,HIGH,LOW_TO_MEDIUM,YES,HIGH,GO_CORE_CANDIDATE,CORE_TRANSFORMATION,This operationalizes ART-027's anomaly definition and can be fit strictly prequentially; must avoid global mean/std.,ART-029: freeze low-dimensional state model and training-only normalization.
Mean reversion,Dynamic equilibrium,Kalman/state-space residual,H2,Adaptive expected-state model,Dense ordered PM time series or sufficiently long per-contract trajectories,DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS_IN_PRINCIPLE,PASS_DAT002,PASS_R0,DENSE_TRAJECTORY_NOT_YET_PROVEN,PASS,CONDITIONAL_DENSE_SERIES,HIGH_IDENTIFIABILITY_RISK,ANOMALY_RESIDUALIZATION,PASS,MEDIUM_INITIALIZATION_TUNING,MEDIUM,HIGH,YES,LOW_MEDIUM,DEFERRED,CHALLENGER_ONLY,Potentially useful expected-state model but unnecessarily complex until dense trajectory coverage and simpler residual models are established.,Do not include in EXP-07I v1 unless simple residualization cannot represent the state and dense history is proven.
Mean reversion,Reversion speed,Half-life/post-jump decay,H2,Separate persistent from temporary movement,Dense PM trajectory around identified jumps with pre-cutoff observations,DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS_IN_PRINCIPLE,PASS_DAT002,PASS_R0,DENSE_TRAJECTORY_NOT_YET_PROVEN,PASS,CONDITIONAL_DENSE_SERIES,CONDITIONAL,PRICE_DYNAMICS,PASS,MEDIUM_JUMP_SELECTION,HIGH,MEDIUM,YES,MEDIUM,CONDITIONAL,CHALLENGER,Useful for separating continuation/reversal but current sparse horizon panel cannot robustly identify decay.,ART-028: determine dense price-history coverage; predefine jump rule before any decay estimate.
Event-driven,Surprise,Expected-versus-realized residual,H3,Movement/disclosure surprise representation,Clearly defined ex-ante expectation and pre-cutoff observed variable; for text prior document only,M0/M1-ZB/M2 prediction history from ART-018/019 and PIT event panel; DAT-004/005 SEC/IR; current independent EPS reconstruction 51/117,CONDITIONAL_DEFINITION,PARTIAL,PASS_R0,VARIABLE,HIGH_RISK_AMBIGUOUS_EXPECTATION,PASS_IF_PRE_EVENT,PASS_SIMPLE,SURPRISE_RESIDUAL,PASS,HIGH_IF_REALIZED_POST_EVENT_USED,HIGH,LOW,YES,MEDIUM,CONDITIONAL,H3_CHALLENGER,Residual-surprise logic is useful but the exact variable must be pre-event; same-event realized disclosure would leak.,Define a purely pre-event surprise representation or drop from H3.
Event-driven,Underreaction,Delayed incorporation metric,H4,Test gradual equity response,Validated H2 signal + safe event time + daily equity OHLCV and SPY,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY; ART-004/005 + DAT-004/005/006: safe event timestamps BMO/AMC/date metadata XNYS calendar,PASS_AFTER_H2,PASS_DAT007,PASS_R0,116/117_EQUITY,PASS,PASS_DAILY_EVENT_TIME,PASS_SIMPLE,H4_EVENT_RESPONSE,PASS,LOW_WITH_FROZEN_ENTRY,HIGH,MEDIUM_HORIZON,YES,HIGH_AFTER_H2,GO_CORE_CANDIDATE,CORE_H4,Current equity panel is sufficient for event-time delayed-incorporation tests once H2 produces a validated signal.,If H2 passes freeze entry/response horizons before inspecting H4 returns.
Event-driven,Attention,Friday/weekday indicator,H3,Information-attention conditioning,Official event date known before event,ART-004/005 + DAT-004/005/006: safe event timestamps BMO/AMC/date metadata XNYS calendar,PASS,PASS,PASS_R0,117/117,PASS,PASS,PASS_SIMPLE,H3_ATTENTION,PASS,LOW,HIGH,LOW,YES,HIGH,GO_CORE_CANDIDATE,H3_CORE_IF_H2_PASS,Deterministic PIT calendar feature already audited in M1-ZB infrastructure.,If H2 passes freeze weekday coding and keep interaction count minimal.
Event-driven,Timing,BMO versus AMC,H3,Execution and incorporation state,Official session classification before event,ART-004/005 + DAT-004/005/006: safe event timestamps BMO/AMC/date metadata XNYS calendar,PASS,PASS_ART004,PASS_R0,117_ELIGIBLE_WITH_DATE_ONLY_HANDLED,PASS_WITH_DATE_ONLY_CATEGORY,PASS,PASS_SIMPLE,H3_EVENT_TIMING,PASS,LOW,HIGH,LOW,YES,HIGH,GO_CORE_CANDIDATE,H3_CORE_IF_H2_PASS,BMO/AMC/date-only classification already exists in the audited calendar feature design.,If H2 passes freeze categories and preserve conservative date-only treatment.
Event-driven,Clustering,Concurrent announcement intensity,H3,Competing-attention state,Event dates for current universe; ideally full-market earnings calendar,ART-004/005 + DAT-004/005/006: safe event timestamps BMO/AMC/date metadata XNYS calendar,PASS_FOR_INTERNAL_UNIVERSE,PASS_INTERNAL_CALENDAR,PASS_R0,117/117_INTERNAL_ONLY,PARTIAL_PROXY_NOT_FULL_MARKET_ATTENTION,PASS_DAILY,PASS_SIMPLE,H3_ATTENTION,PASS,LOW,HIGH,LOW_WINDOW,YES,HIGH,GO_CHALLENGER,H3_CHALLENGER,Can be computed from the 117-event panel but measures clustering inside the ARGOS universe not total market announcement load.,Freeze as internal-universe proxy or acquire a reproducible full-market calendar before stronger interpretation.
Factor investing,Neutralization,Residual return versus factors,H4,Abnormal-return robustness,Equity returns + PIT factor returns with frozen file/version,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY; DAT-022 Kenneth French candidate; not yet frozen into current dataset,PASS_IF_FACTOR_RELEASE_TIMING_FROZEN,CONDITIONAL_DAT022_NOT_YET_FROZEN,PASS_R0,LIKELY_HIGH_BUT_NOT_AUDITED,PASS,PASS_DAILY,PASS_ROBUSTNESS_ONLY,H4_COUNTERFACTUAL,PASS,MEDIUM_FACTOR_REVISION,HIGH,LOW,YES,MEDIUM,CONDITIONAL,H4_ROBUSTNESS,Methodologically useful but the factor dataset is only a candidate and must be frozen/hashes recorded before use.,Only after H2: download/freeze Kenneth French factors and audit publication/revision timing.
Factor investing,Cross-sectional scaling,Rank/z-score transforms,H3,Robust comparable state variables,Pre-event continuous H3 covariates and training-fold statistics,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY; ART-004/005 + DAT-004/005/006: safe event timestamps BMO/AMC/date metadata XNYS calendar,PASS_TRAIN_ONLY,PASS_FOR_EXISTING_COVARIATES,PASS_R0,HIGH_FOR_EXISTING_COVARIATES,PASS,PASS,PASS,NORMALIZATION,PASS,HIGH_IF_GLOBAL_RANKING,HIGH,LOW,YES,HIGH,GO_CORE_CANDIDATE,TRANSFORMATION,Useful robust scaling provided ranks/z-scores are computed within training history and applied forward.,Specify prequential transformation in H3 protocol; never rank using future/full sample.
Factor investing,Exposure control,Size/volatility/liquidity neutralization,H4,Remove known return exposures,"Pre-event size, volatility, liquidity measures and equity returns",DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY; size via SEC/price not yet closed,PASS_FOR_VOL/LIQUIDITY; SIZE_CONDITIONAL,PARTIAL,PASS_R0,HIGH_VOL; UNKNOWN_SIZE,PASS_WITH_EXPLICIT_PROXIES,PASS_DAILY,CONDITIONAL_PARSIMONY,H4_COUNTERFACTUAL,PASS,MEDIUM,HIGH,LOW,YES,MEDIUM,CONDITIONAL,H4_ROBUSTNESS,Volatility and volume are in DAT-007; historical market cap lineage remains incomplete.,Use pre-event vol/liquidity first; add size only if historical shares/market-cap audit closes.
Volatility,State dependence,Realized volatility regime,H3,Signal reliability by risk state,Pre-event daily adjusted-close returns over frozen window,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS,PASS_DAT007,PASS_R0,115_OR_116_DEPENDING_WINDOW,PASS,PASS_DAILY,PASS_ONE_REGIME,H3_RISK_STATE,PASS,LOW,HIGH,LOW_WINDOW,YES,HIGH,GO_CORE_CANDIDATE,H3_CORE_IF_H2_PASS,Daily equity history supports realized-volatility state with disclosed 60-session coverage limit.,Freeze one window/regime split if H2 passes; avoid multiple volatility definitions.
Volatility,Jump risk,Jump intensity/change score,H2,Separate continuous versus jump movement,Dense PM probability/trade series before cutoff,DAT-002 CLOB price history + ART-004/005 safe cutoffs; optionally DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_IN_PRINCIPLE,PRICE_PASS_TRADE_CONDITIONAL,PASS_R0,DENSE_HISTORY_NOT_AUDITED,PASS,CONDITIONAL_DENSE_SERIES,PASS_SIMPLE_CHANGE_SCORE,CHANGE_DETECTION,PASS,MEDIUM_THRESHOLD,HIGH,MEDIUM,YES,MEDIUM,CONDITIONAL,CORE_CANDIDATE_IF_DENSE_HISTORY,Jump/change representation is aligned with anomalous movement but cannot be supported by the sparse horizon snapshots alone.,ART-028: audit dense price/trade coverage and freeze one jump definition.
Volatility,Tail risk,Skew/tail conditional loss,H5,Detect hidden crash-risk payoff,H5 OOS per-opportunity net-return distribution,Future H5 outputs; current ART-023/025 methods available as template,PASS_AFTER_H5,PASS_METHOD,PASS_R0,DEPENDENT_ON_H5_TRADES,PASS,PASS_EVENT_LEVEL,CONDITIONAL_SMALL_N_TAILS,TAIL_RISK,PASS,LOW_IF_METRICS_PRESET,HIGH,LOW,YES,HIGH,GO_ROBUSTNESS,H5_ROBUSTNESS,Important diagnostic of hidden crash risk; tail estimates may be noisy with few trades.,Pre-register tail metrics if H5 is reached; report uncertainty and event concentration.
Volatility,Disagreement,Forecast/variance disagreement,H2,Second-order uncertainty state,Multiple PIT forecasts available before each event,M0/M1-ZB/M2 prediction history from ART-018/019 and PIT event panel,PASS,PASS_FOR_M0_M1ZB_M2,PASS_R0,T3/T1_HIGH; OTHER_HORIZONS_LIMITED,PARTIAL_NOT_PURE_MOVEMENT,PASS_EVENT_LEVEL,PASS_SIMPLE,BELIEF_DISAGREEMENT,PASS,LOW_IF_FORECASTS_PREEXIST,HIGH,LOW,YES,HIGH,GO_CHALLENGER,H2_CONTEXT_CHALLENGER,Can be computed now from PIT forecast families but it is model disagreement rather than prediction-market movement and should not replace movement features.,Keep as contextual/challenger feature; do not let it define M_MOVE identity.
Carry,Crash decomposition,Normal-state payoff versus tail state,H5,Prevent false alpha from rare losses,H5 OOS net returns + pre-specified stress-state variable,Future H5 outputs + DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS_AFTER_H5,PASS_FOR_EQ_STATE,PASS_R0,DEPENDENT_ON_H5,PASS,PASS_EVENT_LEVEL,CONDITIONAL,TAIL_RISK,PASS,HIGH_IF_STRESS_STATE_CHOSEN_POSTHOC,HIGH,LOW_IF_STATE_FROZEN,YES,HIGH,GO_ROBUSTNESS,H5_ROBUSTNESS,Useful to detect carry-like hidden crash exposure but stress state must be frozen before H5 results.,Predefine one stress proxy such as pre-event volatility regime if H5 is reached.
Carry,Funding/liquidity state,Liquidity stress interaction,H5,Condition economic viability on stress,Pre-event equity liquidity proxy volume/dollar volume/volatility; spread if available + H5 signal,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS_FOR_OHLCV_PROXIES,PASS_DAT007,PASS_R0,116/117_OR_WINDOW_LIMIT,PARTIAL_WITHOUT_SPREAD,PASS_DAILY,CONDITIONAL_ONE_INTERACTION,H5_LIQUIDITY_STATE,PASS,LOW,HIGH,LOW,YES,HIGH,GO_CHALLENGER,H5_CHALLENGER,Daily OHLCV can support liquidity proxies but not true spread/depth stress.,If H5 reached freeze one OHLCV-based liquidity proxy and label it explicitly as proxy.
Liquidity,Temporary pressure,Short-horizon reversal diagnostic,H4,Distinguish information from liquidity shock,Validated H2 signal + daily equity reaction paths around event,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS_AFTER_H2,PASS_DAT007,PASS_R0,116/117,PASS_AS_DIAGNOSTIC,PASS_DAILY,PASS,H4_EVENT_RESPONSE,PASS,MEDIUM_IF_HORIZON_SELECTED_POSTHOC,HIGH,LOW_IF_HORIZON_FROZEN,YES,HIGH,GO_ROBUSTNESS,H4_DIAGNOSTIC,Can distinguish temporary liquidity pressure from persistent informational response using existing daily prices.,If H2 passes freeze reversal/continuation horizons before observing H4 returns.
Liquidity,Turnover state,Turnover-conditioned response,H3,Information environment proxy,Pre-event equity OHLCV volume price and validated signal,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY,PASS,PASS_DAT007,PASS_R0,116/117_OR_WINDOW_LIMIT,PASS_AS_TURNOVER_PROXY_IF_SHARES_NOT_REQUIRED,PASS_DAILY,PASS_ONE_INTERACTION,H3_LIQUIDITY_STATE,PASS,LOW,HIGH,LOW,YES,HIGH,GO_CHALLENGER,H3_CHALLENGER,DAT-007 now preserves OHLCV improving on the older M1-ZB audit; dollar-volume/activity states are feasible.,If H2 passes freeze one pre-event volume/dollar-volume normalization.
Macro,Regime conditioning,State-dependent coefficients,H3,Allow ex-ante contextual heterogeneity,Validated H2 signal + small set of pre-event regime variables,DAT-007/DAT-023 + ART-020/021: daily OHLCV/adjusted close/actions for 116/117 events + SPY; ART-004/005 + DAT-004/005/006: safe event timestamps BMO/AMC/date metadata XNYS calendar,PASS,PASS_FOR_EXISTING_STATES,PASS_R0,~115-117,PASS,PASS,HIGH_IF_MANY_REGIMES,H3_REGIME,PASS,HIGH_IF_REGIMES_DISCOVERED_POSTHOC,HIGH,MEDIUM,YES,MEDIUM,CONDITIONAL,H3_CHALLENGER,Mechanism is valid but 117 events cannot support broad regime proliferation; at most one or two pre-specified interactions.,If H2 passes allow only pre-specified parsimonious regimes.
Macro,Concurrent news,Macro-news coincidence,H3,Attention/information complementarity control,Reproducible PIT macro release calendar with timestamps + event timestamps,No approved current source,POSSIBLE,FAIL_CURRENT_DATA,PASS_R0,NOT_AUDITED,PASS_IF_OFFICIAL_CALENDAR,PASS_IF_TIMESTAMPED,PASS_SIMPLE,H3_ATTENTION,PASS,LOW,HIGH,LOW,YES,MEDIUM_LOW,NO_GO_DATA,DEFER,No macro-release calendar is currently in the approved ARGOS data inventory.,Do not consume critical path; reopen only if official free timestamped calendar is added before H3 freeze.
Text/NLP,Tone surprise,Residualized managerial tone,H3,Contextual event-information proxy,Pre-event official filing/release text with publication timestamp; frozen text preprocessing/model,DAT-004/005 SEC/IR; current independent EPS reconstruction 51/117,CONDITIONAL_PRE_EVENT_DOCUMENTS_ONLY,PARTIAL_51_EVENT_EPS_DOCS_NOT_FULL_PRE_EVENT_CORPUS,PASS_R0,UNKNOWN_FOR_PRE_EVENT_TEXT,CONDITIONAL_DOCUMENT_TYPE,PASS_IF_PUBLICATION_TIME_VERIFIED,HIGH_FOR_TUNED_NLP; PASS_FOR_FIXED_SIMPLE_SCORE,H3_TEXT,PASS,VERY_HIGH_IF_SAME_EVENT_RELEASE_USED,MEDIUM_HIGH_IF_MODEL_FROZEN,HIGH_UNLESS_FIXED_LEXICON/MODEL,YES,LOW_MEDIUM,CONDITIONAL,H3_CHALLENGER_ONLY,Official documents exist but the currently reconstructed 51-event corpus centers on outcome validation; same-event release text would leak. A complete pre-event text corpus is not audited.,Only use prior/public pre-event filings; audit coverage and timestamps before H3 freeze.
Text/NLP,Ambiguity,Vagueness/uncertainty score,H3,Information-quality proxy,Pre-event official filing/release text with publication timestamp; frozen text preprocessing/model,DAT-004/005 SEC/IR; current independent EPS reconstruction 51/117,CONDITIONAL_PRE_EVENT_DOCUMENTS_ONLY,PARTIAL_51_EVENT_EPS_DOCS_NOT_FULL_PRE_EVENT_CORPUS,PASS_R0,UNKNOWN_FOR_PRE_EVENT_TEXT,CONDITIONAL_DOCUMENT_TYPE,PASS_IF_PUBLICATION_TIME_VERIFIED,HIGH_FOR_TUNED_NLP; PASS_FOR_FIXED_SIMPLE_SCORE,H3_TEXT,PASS,VERY_HIGH_IF_SAME_EVENT_RELEASE_USED,MEDIUM_HIGH_IF_MODEL_FROZEN,HIGH_UNLESS_FIXED_LEXICON/MODEL,YES,LOW_MEDIUM,CONDITIONAL,H3_CHALLENGER_ONLY,Official documents exist but the currently reconstructed 51-event corpus centers on outcome validation; same-event release text would leak. A complete pre-event text corpus is not audited.,Only use prior/public pre-event filings; audit coverage and timestamps before H3 freeze.
Text/NLP,Unusualness,Text entropy/topic surprise,H3,Novel information measure,Pre-event official filing/release text with publication timestamp; frozen text preprocessing/model,DAT-004/005 SEC/IR; current independent EPS reconstruction 51/117,CONDITIONAL_PRE_EVENT_DOCUMENTS_ONLY,PARTIAL_51_EVENT_EPS_DOCS_NOT_FULL_PRE_EVENT_CORPUS,PASS_R0,UNKNOWN_FOR_PRE_EVENT_TEXT,CONDITIONAL_DOCUMENT_TYPE,PASS_IF_PUBLICATION_TIME_VERIFIED,HIGH_FOR_TUNED_NLP; PASS_FOR_FIXED_SIMPLE_SCORE,H3_TEXT,PASS,VERY_HIGH_IF_SAME_EVENT_RELEASE_USED,MEDIUM_HIGH_IF_MODEL_FROZEN,HIGH_UNLESS_FIXED_LEXICON/MODEL,YES,LOW_MEDIUM,CONDITIONAL,H3_CHALLENGER_ONLY,Official documents exist but the currently reconstructed 51-event corpus centers on outcome validation; same-event release text would leak. A complete pre-event text corpus is not audited.,Only use prior/public pre-event filings; audit coverage and timestamps before H3 freeze.
Text/NLP,PIT model discipline,Chronologically bounded language model,Governance,Avoid textual look-ahead,Any text feature pipeline plus model/version and retrieval corpus restricted by publication time,Governance method; applies only if text/NLP is used,PASS_AS_POLICY,PASS_METHOD,PASS_R0,N/A,PASS,PASS,N/A,GOV_PIT,PASS,HIGH_VALUE_CONTROL,CONDITIONAL_MODEL_VERSION,LOW_POLICY,YES,HIGH,GO_ROBUSTNESS,GOVERNANCE_IF_NLP,Strong control against textual look-ahead but unnecessary if no text feature enters the final model.,If any NLP feature survives record model/version/corpus cutoff and prohibit post-cutoff retrieval.
