technique,target_gate,pass_a_status,pass_b_status,final_status,architecture_family,architecture_role,redundancy_basis,next_step
Volatility-scaled movement,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H2_STATE_NORMALIZATION,CORE_TRANSFORMATION,Scale normalization changes interpretation across activity regimes rather than duplicating raw movement.,Use causal pre-cutoff scale only; no global normalization.
Volatility/panic state interaction,H3,GO_CHALLENGER,AUDITED_PASS_B,NO_GO_REDUNDANT,H3_RISK_STATE,REDUNDANT_WITH_REALIZED_VOL_REGIME,Same intended regime mechanism can be represented more cleanly by one realized-volatility state.,Fold into Realized volatility regime; do not test separately.
Conditional z-score,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H2_RESIDUAL_STATE,CORE_TRANSFORMATION,Canonical simple observed-minus-expected residualization; simple-first representative of state normalization.,Make residual state model baseline before complex anomaly challengers.
Kalman/state-space residual,H2,DEFERRED,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,DEFERRED,ANOMALY_RESIDUALIZATION,DEFERRED_CHALLENGER,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Do not place in initial ART-029 universe unless Pass B finds a unique nonredundant need that simple residualization cannot represent.
Half-life/post-jump decay,H2,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,H2_PRICE_DYNAMICS,CONDITIONAL_CHALLENGER,Distinct persistence-vs-reversion mechanism but eligibility depends on a predeclared jump with enough pre-cutoff tail.,ART-028 measure label-free eligible-event coverage after one fixed jump rule.
Expected-versus-realized residual,H3,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,H3_SURPRISE,CONDITIONAL_FEATURE,Admissible only if both expectation and realized quantity are pre-cutoff; post-event EPS/disclosure would leak.,Write exact pre-cutoff definition before any materialization.
Delayed incorporation metric,H4,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H4_TRANSMISSION,CORE_TEST,Direct low-dimensional H4 transmission question.,Only after H2 pass; freeze event-response horizons before returns.
Friday/weekday indicator,H3,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H3_ATTENTION,CORE_CONTEXT,Complete deterministic PIT calendar context with almost zero degrees of freedom.,"If H2 passes, one predeclared weekday coding only."
BMO versus AMC,H3,NO_GO_DATA,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,NO_GO_DATA,H3_EVENT_TIMING,NO_GO_BROAD_SAMPLE,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Do not use in current broad audit/model unless a separate explicit timing collection is completed before protocol freeze.
Concurrent announcement intensity,H3,GO_CHALLENGER,AUDITED_PASS_B,GO_CHALLENGER,H3_ATTENTION,CHALLENGER_CONTEXT,Distinct crowding/attention proxy but current measure is internal-universe only.,Keep naming narrow; do not claim market-wide attention.
Residual return versus factors,H4,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,H4_COUNTERFACTUAL,CONDITIONAL_ROBUSTNESS,Useful secondary benchmark but factor version/hash must first be frozen.,Materialize factors only if H4 is reached.
Rank/z-score transforms,H3,GO_ROBUSTNESS,AUDITED_PASS_B,GO_ROBUSTNESS,NORMALIZATION,TRANSFORMATION_RULE,"Transformation rule, not independent alpha mechanism; train-only scaling protects comparability.",Apply as protocol rule where needed; do not count as separate signal family.
Size/volatility/liquidity neutralization,H4,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,H4_COUNTERFACTUAL,CONDITIONAL_ROBUSTNESS,Partially overlaps existing vol/turnover controls; PIT size field not materialized.,Use only audited existing controls unless minimal SEC schema is separately frozen.
Realized volatility regime,H3,GO_CHALLENGER,AUDITED_PASS_B,GO_CORE_CANDIDATE,H3_RISK_STATE,CORE_CONTEXT,Simplest auditable ex-ante risk-state interaction from existing equity data.,"If H2 passes, freeze one window/state definition."
Jump intensity/change score,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H2_REGIME_CHANGE,CORE_FEATURE,Simple deterministic regime-change representative; lower degrees of freedom than BOCPD.,Make simple jump/change score the core representative.
Skew/tail conditional loss,H5,GO_ROBUSTNESS,AUDITED_PASS_B,GO_ROBUSTNESS,H5_TAIL_RISK,CORE_ROBUSTNESS,Direct tail-risk diagnostic and more primitive than redundant normal-vs-tail summary.,Pre-register tail metrics if H5 reached.
Forecast/variance disagreement,H2,GO_CHALLENGER,AUDITED_PASS_B,NO_GO_REDUNDANT,H2_FORECAST_DISAGREEMENT,REDUNDANT,Abstractly duplicates the concrete Dispersion across simple forecasters representation.,Use Dispersion across simple forecasters as the single disagreement implementation.
Normal-state payoff versus tail state,H5,GO_ROBUSTNESS,AUDITED_PASS_B,NO_GO_REDUNDANT,H5_TAIL_RISK,REDUNDANT,Same tail-decomposition question can be covered by predeclared tail conditional loss/stress diagnostics.,Fold into H5 tail-risk robustness family.
Liquidity stress interaction,H5,GO_ROBUSTNESS,AUDITED_PASS_B,GO_ROBUSTNESS,H5_STRESS,ROBUSTNESS,Distinct pre-event stress conditioning if named via existing turnover/volatility proxies.,Do not relabel turnover as spread/depth.
Short-horizon reversal diagnostic,H4,GO_CHALLENGER,AUDITED_PASS_B,GO_ROBUSTNESS,H4_TRANSMISSION,ROBUSTNESS_TEST,Useful continuation-vs-reversal falsification but overlaps the core delayed-incorporation family.,Keep as one predeclared secondary horizon/sign diagnostic.
Turnover-conditioned response,H3,GO_CHALLENGER,AUDITED_PASS_B,GO_CHALLENGER,H3_LIQUIDITY_STATE,CHALLENGER_CONTEXT,"Distinct turnover state from volatility, using audited daily volume.",One window/interact form only if H2 passes.
State-dependent coefficients,H3,CONDITIONAL,AUDITED_PASS_B,DEFERRED,H3_REGIME,DEFERRED_COMPLEXITY,Generic regime splitting adds degrees of freedom and is subsumed initially by explicit realized-volatility/turnover contexts.,Reopen only if explicit simple interactions are inadequate after confirmatory work.
Macro-news coincidence,H3,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,H3_ATTENTION,CONDITIONAL_CONTEXT,Potentially distinct information-load flag but official event set/window not materialized.,Freeze minimal BLS/BEA/Fed release set before construction if retained.
Residualized managerial tone,H3,CONDITIONAL,AUDITED_PASS_B,DEFERRED,H3_TEXT,DEFERRED_TEXT,Requires a new frozen PIT corpus and overlaps other text-context candidates under a tight sample/deadline.,Do not open a multi-text search before H2; reconsider only one text family later.
Vagueness/uncertainty score,H3,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,H3_TEXT,SINGLE_TEXT_OPTION,Simplest interpretable text-context candidate if a prior-document-only corpus is frozen.,"If H3 is reached and text is justified, this is the sole preferred text feature."
Text entropy/topic surprise,H3,CONDITIONAL,AUDITED_PASS_B,DEFERRED,H3_TEXT,DEFERRED_TEXT,Higher model/version/topic degrees of freedom than a simple uncertainty score with same corpus burden.,Do not include in initial H3 architecture.
Chronologically bounded language model,Governance,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,GOV_PIT_TEXT,MANDATORY_GOVERNANCE_IF_TEXT,Not an alpha feature; mandatory firewall if any text path is reopened.,Record model/version/knowledge cutoff and document timestamps.
Platt/isotonic/online calibration,H2,GO_ROBUSTNESS,AUDITED_PASS_B,GO_ROBUSTNESS,H2_CALIBRATION,ROBUSTNESS_MODEL,Calibration does not add information; keep one parsimonious prequential calibration as robustness.,"Prefer one predeclared simple calibrator, fit date-batched on prior data."
Online weighted ensemble,H2,GO_CHALLENGER,AUDITED_PASS_B,GO_CHALLENGER,H2_MODEL_POOLING,CHALLENGER_MODEL,Small fixed expert pooling is PIT-compatible and simpler than maintaining separate regret-family tests.,Freeze expert set and one update rule; no expert proliferation.
Dispersion across simple forecasters,H2,GO_CHALLENGER,AUDITED_PASS_B,GO_CHALLENGER,H2_FORECAST_DISAGREEMENT,CHALLENGER_FEATURE,Concrete low-dimensional second-order uncertainty representation; preferred over abstract duplicate.,Use a very small frozen forecaster set.
BOCPD,H2,GO_CHALLENGER,AUDITED_PASS_B,DEFERRED,H2_REGIME_CHANGE,DEFERRED_COMPLEX_CHALLENGER,Shares regime-change mechanism with simple jump/CUSUM but adds prior/hazard choices with only ~115 independent events.,Simple jump core + CUSUM challenger first; BOCPD documented for future.
CUSUM/score-CUSUM,H2,GO_CHALLENGER,AUDITED_PASS_B,GO_CHALLENGER,H2_REGIME_CHANGE,CHALLENGER_FEATURE,Sequential evidence accumulator is distinct implementation but simpler than BOCPD.,Freeze one score definition and reference level before ART-029.
Matrix Profile discord score,H2,GO_CHALLENGER,AUDITED_PASS_B,GO_CHALLENGER,H2_PATTERN_NOVELTY,CHALLENGER_FEATURE,Provides model-free path novelty distinct from pointwise residual/jump families.,Use one fixed subsequence scale if retained; no window search.
Matrix Profile motif similarity,H2,GO_CHALLENGER,AUDITED_PASS_B,NO_GO_REDUNDANT,H2_PATTERN_NOVELTY,REDUNDANT,Uses the same pattern-distance machinery/data as discord; anomaly thesis is more directly represented by discord.,Keep discord only for initial architecture.
Wavelet decomposition,H2,CONDITIONAL,AUDITED_PASS_B,DEFERRED,H2_MULTI_SCALE,DEFERRED_COMPLEXITY,Adds basis/scale choices while fixed-window trajectory features already cover multi-horizon movement.,Reopen only if fixed-window representation proves structurally inadequate.
Mutual information lead-lag,H4,CONDITIONAL,AUDITED_PASS_B,DEFERRED,H4_NONLINEAR_TRANSMISSION,DEFERRED_COMPLEXITY,Nonlinear lead-lag adds estimator/binning choices and small-sample burden beyond event-time lag regression.,Use event-time lag + reverse-direction control first.
Transfer entropy,H4,DEFERRED,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,DEFERRED,H4_INFO_THEORY,DEFERRED_H4_DIAGNOSTIC,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Do not include in initial H4 confirmatory set; retain as future diagnostic research.
Event-time lag regression,H4,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CHALLENGER,H4_TRANSMISSION,CHALLENGER_TEST,Concrete interpretable lead-lag parameterization complementary to core delayed-incorporation summary.,"If H2 passes, freeze a small lag set before returns."
Synthetic control,H4,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,H4_COUNTERFACTUAL,CONDITIONAL_ROBUSTNESS,Potentially stronger counterfactual but donor construction/data requirements are not frozen.,Only if H4 primary result warrants deeper robustness; donor rules frozen first.
Reverse-direction equity-to-PM test,H4,GO_ROBUSTNESS,AUDITED_PASS_B,GO_ROBUSTNESS,H4_NEGATIVE_CONTROL,MANDATORY_NEGATIVE_CONTROL,Directly addresses reverse causality and uses the same timestamp discipline.,Include as predeclared H4 negative control if H2 passes.
Matched event study,H4,GO_ROBUSTNESS,AUDITED_PASS_B,GO_ROBUSTNESS,H4_COUNTERFACTUAL,ROBUSTNESS_TEST,Interpretable counterfactual robustness with lower complexity than synthetic control.,Freeze matching covariates/rules before H4 outcomes.
Regret-based expert weighting,H2,GO_CHALLENGER,AUDITED_PASS_B,NO_GO_REDUNDANT,H2_MODEL_POOLING,REDUNDANT,Same adaptive expert-pooling role as Online weighted ensemble; testing both inflates model-family multiplicity.,Retain one online weighted ensemble implementation only.
Conformal/change-drift monitor,H2,GO_CHALLENGER,AUDITED_PASS_B,GO_ROBUSTNESS,H2_DRIFT,ROBUSTNESS_MONITOR,Useful process/stability monitor rather than primary incremental-information feature.,"Use only as predeclared drift/coverage robustness, not extra alpha search."
Worst-case expected return,H5,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CHALLENGER,H5_UNCERTAINTY_DECISION,CHALLENGER_DECISION,Distinct robust decision rule that naturally supports no-trade under uncertainty.,Only after H4; compare to simple deterministic abstention without tuning on test.
Turnover penalty,H5,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_ROBUSTNESS,H5_COST_CONTROL,ROBUSTNESS_DECISION,Simple regularizer of economic activity/fragility with low extra complexity.,Predeclare penalty convention if H5 reached.
Cardinality/sparse decision,H5,DEFERRED,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,DEFERRED,UNCERTAINTY_DECISION,DEFERRED_H5,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Do not place in initial H5 set unless actual concurrency/capacity evidence establishes a need.
Fractional Kelly,H5,GO_CHALLENGER,AUDITED_PASS_B,DEFERRED,H5_SIZING,DEFERRED_SIZING,Sizing adds estimation risk and conflicts with the simple equal-notional/no-leverage confirmatory architecture; not needed to test existence of edge.,Keep equal-notional primary; revisit sizing only after validated economic edge.
Bayesian/uncertainty-adjusted Kelly,H5,DEFERRED,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,DEFERRED,UNCERTAINTY_DECISION,DEFERRED_H5,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Keep for future research unless Pass B identifies a unique need not covered by worst-case/fractional sizing.
Risk-coverage curve,H5,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H5_ABSTENTION,CORE_EVALUATION,Direct evaluation of abstention/no-trade tradeoff without requiring a second learned model.,Use with frozen confidence score after H4; report coverage versus risk/utility.
Secondary trade/no-trade model,H5,NO_GO_SAMPLE_COMPLEXITY,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,NO_GO_SAMPLE_COMPLEXITY,ABSTENTION_DECISION,NO_GO_CURRENT_SAMPLE,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Exclude from current confirmatory H5; use risk-coverage/no-trade thresholds instead.
Almgren-Chriss style cost layer,H5,NO_GO_DATA,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,NO_GO_DATA,EXECUTION_COST,NO_GO_CURRENT_SAMPLE,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Retain fixed-cost/sensitivity framework; do not claim Almgren-Chriss calibration in current project.
RL execution challenger,H5,NO_GO_DATA,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,NO_GO_DATA,EXECUTION_COST,NO_GO_CURRENT_SAMPLE,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Exclude from current project; prospective research only after a validated alpha and execution dataset exist.
Conformal martingale,H2,GO_CHALLENGER,AUDITED_PASS_B,GO_CHALLENGER,H2_SEQUENTIAL_EVIDENCE,CHALLENGER_FEATURE,"Anytime evidence accumulation is conceptually distinct from fixed-window residuals, but should remain one sequential challenger.",Freeze conformity score and betting rule ex ante if retained.
Multivariate anomaly distance,H2,GO_CHALLENGER,AUDITED_PASS_B,GO_CHALLENGER,H2_MULTIVARIATE_ANOMALY,CHALLENGER_FEATURE,Combines multiple audited state dimensions without labels; useful as one multivariate anomaly challenger.,Use a simple shrinkage/diagonal distance before nonlinear alternatives.
Deflated Sharpe Ratio,Governance,GO_ROBUSTNESS,AUDITED_PASS_B,GO_ROBUSTNESS,GOV_MULTIPLE_TESTING,MANDATORY_IF_ECONOMIC_SEARCH_EXPANDS,Corrects economic-performance selection when multiple H5 variants are tried; not a signal.,Apply if enough economic variants are evaluated; count all trials from ledger.
PBO/CSCV,Governance,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,GOV_BACKTEST_OVERFIT,CONDITIONAL_GOVERNANCE,Useful only if the number/structure of comparable strategy trials makes CSCV estimable.,Decide from frozen trial count before final economic freeze.
Trial ledger,Governance,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,GOV_TRIAL_ACCOUNTING,MANDATORY_GOVERNANCE,Required to make later multiple-testing controls truthful.,Assign immutable trial IDs before ART-029/030 execution.
Random-null/placebo tests,Governance,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,GOV_PLACEBO,MANDATORY_GOVERNANCE,Provides falsification without selecting candidates by outcome and is compatible with frozen protocol.,Pre-register placebo family and seeds before confirmatory testing.
Frozen feature/model family,Governance,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,GOV_PREREGISTRATION,MANDATORY_GOVERNANCE,Central protection against outcome-driven specification after this architecture pass.,Freeze final ART-029 feature/model universe and hashes before ART-030.
