family,dimension,anchor,ecg,rationale,primary_source_ids,corroborating_source_ids,evidence_scope,adjudication_note
FDA_FINAL_PDUFA_DECISION,PSI,4,B,"Specialist public commentary exists, but there is limited standardized public forecasting of the case-specific final regulatory action compared with earnings or FOMC decisions.",FDA_DRUG_REVIEW,,same-family-process,"Sparse specialist coverage rather than absence of coverage."
MA_PRE_ANNOUNCEMENT_OR_RUMOR,PAC,5,A,"Confidential merger negotiations are known to a highly concentrated transaction set before public announcement; SEC enforcement directly documents this mechanism.",SEC_SHLANSKY_MA,,same-family-enforcement,"Structural process score; does not infer misconduct in ordinary transactions."
MA_PRE_ANNOUNCEMENT_OR_RUMOR,LSO,5,A,"The decisive negotiation state is private and can remain fundamentally opaque until a discrete deal announcement.",SEC_SHLANSKY_MA,,same-family-enforcement,"Direct confidential-negotiation evidence."
MA_PRE_ANNOUNCEMENT_OR_RUMOR,SIB,3,B,"Assessing deal likelihood requires material corporate-finance, legal and strategic synthesis, but not uniformly narrow specialist expertise.",SEC_SHLANSKY_MA,SEC_MA_CONDITIONS_2025,adjacent-process,"Moderate-high interpretation barrier."
MA_PRE_ANNOUNCEMENT_OR_RUMOR,TAW,4,B,"Confidential negotiations can persist across a multi-week transaction process before announcement, supporting a 7-30 day asymmetry window without assuming month-plus duration in every case.",SEC_SHLANSKY_MA,,same-family-enforcement,"Conservative relative to potentially longer negotiations."
MA_PRE_ANNOUNCEMENT_OR_RUMOR,PSI,4,B,"Before announcement there is no standardized public consensus apparatus for a transaction that is not yet public; rumor coverage may exist but is sparse and case-specific.",SEC_SHLANSKY_MA,,same-family-process,"Not scored 5 because rumor and sector monitoring can exist."
MA_PENDING_COMPLETION,PAC,3,B,"After announcement the parties and advisers have earlier access to progress on closing conditions and covenants, but the basic transaction and many conditions are already public.",SEC_MA_CONDITIONS_2025;SEC_MA_CONDITIONS_2026,FTC_MERGER_REVIEW,same-family-filings,"Bounded multi-party partial-state access."
MA_PENDING_COMPLETION,LSO,3,B,"Important closing-condition state evolves privately while merger agreements disclose many conditions and deadlines publicly.",SEC_MA_CONDITIONS_2025;SEC_MA_CONDITIONS_2026,,same-family-filings,"Material but not dominant opacity."
MA_PENDING_COMPLETION,SIB,3,B,"Completion requires synthesis of legal conditions, regulatory status, financing and corporate disclosures.",SEC_MA_CONDITIONS_2025;SEC_MA_CONDITIONS_2026,,same-family-filings,"Substantial domain synthesis."
MA_PENDING_COMPLETION,TAW,4,A,"Public merger agreements routinely provide closing windows spanning weeks or months while conditions remain outstanding, creating a sustained interval in which progress can differ across information sets.",SEC_MA_CONDITIONS_2025;SEC_MA_CONDITIONS_2026,,same-family-filings,"7-30 day structural band; conservative versus longer deal timelines."
MA_PENDING_COMPLETION,PSI,2,B,"Announced deals receive broad public coverage and market monitoring, but uncertainty remains case-specific and less standardized than macro or FOMC forecasting.",SEC_MA_CONDITIONS_2025;SEC_MA_CONDITIONS_2026,FTC_MERGER_REVIEW,same-family-process,"Broad coverage with meaningful idiosyncratic uncertainty."
MA_REGULATORY_CLEARANCE,PAC,4,A,"Reviewing agencies and merging parties exchange nonpublic materials and engage directly during clearance and Second Request processes before public resolution.",FTC_MERGER_REVIEW;FTC_MERGER_CONF,SEC_MA_CONDITIONS_2026,same-family-process,"Small bounded institutional and party set."
MA_REGULATORY_CLEARANCE,LSO,4,A,"A large portion of the decisive regulatory assessment develops within a confidential investigation, while some procedural milestones and legal standards are public.",FTC_MERGER_CONF;FTC_MERGERS_GUIDE,FTC_MERGER_REVIEW,same-family-process,"Predominantly private regulatory state."
MA_REGULATORY_CLEARANCE,SIB,4,A,"Clearance assessment requires specialized antitrust, industry and regulatory analysis.",FTC_MERGER_REVIEW;FTC_MERGERS_GUIDE,,same-family-process,"Narrow legal/economic specialist expertise."
MA_REGULATORY_CLEARANCE,TAW,4,B,"Statutory waiting periods, Second Requests and negotiated review extensions create multi-week periods before a clearance or challenge outcome.",FTC_MERGER_REVIEW;FTC_MERGERS_GUIDE,,same-family-process,"7-30 day band used conservatively."
MA_REGULATORY_CLEARANCE,PSI,3,B,"Public antitrust analysis and deal coverage exist, but forecasts are fragmented and case-specific rather than continuously standardized.",FTC_MERGER_REVIEW;FTC_MERGERS_GUIDE,,same-family-process,"Moderate/fragmented forecasting."
ANTITRUST_ENFORCEMENT_SINGLE_NAME,PAC,4,A,"Agency staff and investigated parties can possess nonpublic investigative information before an enforcement decision becomes public.",FTC_MERGER_CONF;FTC_MERGERS_GUIDE,,same-family-regulatory-process,"Applied to single-name enforcement structure, not a claim about a particular investigation."
ANTITRUST_ENFORCEMENT_SINGLE_NAME,LSO,4,A,"FTC guidance states merger-investigation information is confidential and even the existence of an investigation can be undisclosed, creating substantial latent regulatory state.",FTC_MERGERS_GUIDE;FTC_MERGER_CONF,,same-family-regulatory-process,"Strong direct confidentiality evidence."
ANTITRUST_ENFORCEMENT_SINGLE_NAME,SIB,4,A,"Antitrust enforcement outcomes depend on specialized legal, economic and market-structure analysis.",FTC_MERGERS_GUIDE;FTC_MERGER_REVIEW,,same-family-regulatory-process,"Narrow specialist interpretation."
ANTITRUST_ENFORCEMENT_SINGLE_NAME,TAW,4,B,"Investigations and information requests can extend for weeks before a challenge, closure or negotiated outcome.",FTC_MERGER_REVIEW;FTC_MERGERS_GUIDE,,same-family-regulatory-process,"7-30 day band conservative."
ANTITRUST_ENFORCEMENT_SINGLE_NAME,PSI,3,B,"Public legal and industry analysis exists, but standardized probabilistic forecasting is fragmented across individual enforcement matters.",FTC_MERGERS_GUIDE,,same-family-regulatory-process,"Moderate/fragmented coverage."
FOMC_DECISION,PAC,5,A,"Committee participants and authorized staff have access to confidential deliberative information and the unannounced policy decision before its scheduled public statement.",FED_FOMC_CONF,FED_FOMC_PUBLIC,same-family-process,"Highly concentrated policy decision set; no misconduct implication."
FOMC_DECISION,LSO,4,A,"The meeting is closed and deliberations are confidential until the statement, while extensive economic data and prior communications remain public.",FED_FOMC_CONF;FED_FOMC_PUBLIC,,same-family-process,"Predominantly private decision state but not opaque economic inputs."
FOMC_DECISION,SIB,3,B,"Interpreting policy requires substantial macro-financial synthesis, but a broad professional ecosystem performs this analysis using standard tools.",NYFED_MARKET_EXPECT,FED_FOMC_PUBLIC,same-family-process,"Substantial domain expertise, not narrow case-specific specialist barrier."
FOMC_DECISION,TAW,3,A,"The formal communications blackout begins roughly a week before scheduled meetings and the decision is released after the meeting, supporting a multi-day structural asymmetry window.",FED_FOMC_CONF,FED_FOMC_PUBLIC,same-family-process,"Uses policy-process window, not market-contract history."
FOMC_DECISION,PSI,0,A,"The New York Fed documents a recurring survey of primary dealers and other market participants before every FOMC meeting, alongside market-price analysis, providing multiple dense standardized expectation channels.",NYFED_MARKET_EXPECT,FED_FOMC_PUBLIC,same-family-multiple-channels,"Meets low-anchor requirement with survey and market-based expectation channels."
MACRO_STATISTICAL_RELEASE,PAC,4,A,"BLS documents authorized personnel access to embargoed CPI data before public release and strict controls on that pre-release information.",BLS_CPI_CONF,BLS_RELEASE_CAL,same-family-process,"Direct for major U.S. statistical releases; global family generalization is limited in ECG where appropriate."
MACRO_STATISTICAL_RELEASE,LSO,3,B,"The finalized statistic is nonpublic until release, but many underlying economic indicators and inputs are publicly observable or forecastable beforehand.",BLS_CPI_CONF,PHILLY_SPF,same-family-plus-public-forecasting,"Material latent final print, not near-total opacity."
MACRO_STATISTICAL_RELEASE,SIB,2,B,"Professional statistical and macroeconomic interpretation is required, but standardized definitions, calendars and forecasting tools are widely available.",BLS_RELEASE_CAL;PHILLY_SPF,,same-family-process,"Standard professional barrier."
MACRO_STATISTICAL_RELEASE,TAW,2,B,"The strongest unequal-information state around a finalized embargoed statistic is plausibly hours to about a day rather than a persistent multi-week state.",BLS_CPI_CONF;BLS_RELEASE_CAL,,same-family-process,"1-24 hour band conservative."
MACRO_STATISTICAL_RELEASE,PSI,0,A,"Professional forecast surveys and recurring market-expectation surveys provide dense standardized public expectations for macro variables before releases.",PHILLY_SPF;NYFED_MARKET_EXPECT,BLS_RELEASE_CAL,same-family-multiple-channels,"Two distinct standardized public forecast channels documented."
CORPORATE_LITIGATION_BINARY,PAC,,D,"Official court rules establish restricted discovery but do not establish a stable same-family concentration level across the broad corporate binary-litigation taxonomy.",USCOURTS_LR26,,broad-court-process,"Insufficient same-family evidence; unresolved rather than scored low."
CORPORATE_LITIGATION_BINARY,LSO,4,B,"Protective orders and sealed or restricted discovery can keep material case evidence outside public access while litigation proceeds.",USCOURTS_LR26,,broad-court-process,"Direct confidentiality mechanism, but broad family heterogeneity limits ECG."
CORPORATE_LITIGATION_BINARY,SIB,5,B,"Case-specific litigation outcomes can require specialized legal and evidentiary interpretation difficult for outside non-specialists.",USCOURTS_LR26,,broad-court-process,"High barrier but broad-family directness limitation."
CORPORATE_LITIGATION_BINARY,TAW,,D,"The broad taxonomy spans procedural timelines from short motions to multi-year matters; available evidence does not justify one stable asymmetry-window anchor.",USCOURTS_LR26,,broad-court-process,"Unresolved duration by design."
CORPORATE_LITIGATION_BINARY,PSI,4,C,"Public forecasting is generally case-specific and sparse, but the available official court source does not directly measure forecasting saturation across corporate binary cases.",USCOURTS_LR26,,adjacent-inference,"Weak directness represented by ECG-C."
